ticker,delta_bar,n_rows,classification
EWP,0.25236913980470416,1544,normal
EWQ,0.24551597067047823,1559,normal
EWS,0.25315219854384086,1430,normal
EWU,0.29543767233053636,1546,volatile
EWUS,0.2808756276178775,1558,volatile
EWV,0.22141150247493163,1561,normal
EWW,0.25515757121634847,1562,normal
EWX,0.2719046825534337,1561,volatile
EWZ,0.28332445538170586,1560,volatile
EWZS,0.27687355845737643,1503,volatile
EXEL,0.2254279606738961,1550,normal
EXK,0.2353560753290879,1168,normal
EXLS,0.18966181480213085,1547,calm
EXTR,0.2349266232707178,1517,normal
EZA,0.279478422542724,1561,volatile
EZJ,0.2799503074311797,1554,volatile
EZM,0.2555001999473013,1562,normal
EZPW,0.1997997740536181,1277,calm
EZU,0.22322481072074302,1561,normal
F,0.2546784138829319,1454,normal
FAAR,0.23483190279267557,1319,normal
FAF,0.3512985825490731,1561,volatile
FAN,0.28967498902883937,1466,volatile
FARM,0.24360546423441798,929,normal
FAST,0.25819293150944317,1552,normal
FBCV,0.2511842492435723,1425,normal
FBK,0.2783705672709127,1561,volatile
FBNC,0.3141543809777104,1562,volatile
FCA,0.2597646136725916,1452,normal
FCAP,0.2146511314138896,1476,calm
FCCO,0.27243839125580854,1484,volatile
FCEF,0.271007752172966,1089,volatile
FCG,0.23451474461382318,1555,normal
FCOM,0.22389531554529424,1561,normal
FCOR,0.2527768199149863,1343,normal
FCPI,0.23692849878776365,1525,normal
FCPT,0.2512414074750863,1537,normal
FDBC,0.2899229211012729,1558,volatile
FDD,0.2557112092161132,1129,normal
FDEM,0.26739834117903477,1467,normal
FDEV,0.27917347682088595,1448,volatile
FDHY,0.2538278376714813,1203,normal
FDIS,0.30742871098738217,1562,volatile
FDL,0.25325546097943946,1534,normal
FDLO,0.21680837780786688,1546,normal
FDM,0.314291281092693,1561,volatile
FDMO,0.2356386166744415,1561,normal
FDNI,0.24765056968029853,1557,normal
FDP,0.22343170811563165,1557,normal
FDRR,0.20117949264092264,1550,calm
FDUS,0.25277005395031626,1399,normal
FEM,0.2820389116294868,1503,volatile
FEMB,0.2697594272128636,1350,volatile
FEMS,0.23632735428594545,1557,normal
FENC,0.21051631811925522,1404,calm
FENG,0.16350082683362277,879,calm
FENY,0.2831737694231581,1542,volatile
FET,0.22835690517711832,1560,normal
FEZ,0.2347649664341078,1561,normal
FF,0.19906702686637107,1176,calm
FFEB,0.21399806208294792,1378,calm
FFIC,0.26969594933230423,1529,volatile
